Volume,Girth,Height,Girth2,Height2,Girth2Height,GirthHeight2
10.3,8.3,70,68.89,4900,4822.3,40670
10.3,8.6,65,73.96,4225,4807.4,36335
10.2,8.8,63,77.44,3969,4878.72,34927.2
16.4,10.5,72,110.25,5184,7938,54432
18.8,10.7,81,114.49,6561,9273.69,70202.7
19.7,10.8,83,116.64,6889,9681.12,74401.2
15.6,11,66,121,4356,7986,47916
18.2,11,75,121,5625,9075,61875
22.6,11.1,80,123.21,6400,9856.8,71040
19.9,11.2,75,125.44,5625,9408,63000
24.2,11.3,79,127.69,6241,10087.51,70523.3
21,11.4,76,129.96,5776,9876.96,65846.4
21.4,11.4,76,129.96,5776,9876.96,65846.4
21.3,11.7,69,136.89,4761,9445.41,55703.7
19.1,12,75,144,5625,10800,67500
22.2,12.9,74,166.41,5476,12314.34,70640.4
33.8,12.9,85,166.41,7225,14144.85,93202.5
27.4,13.3,86,176.89,7396,15212.54,98366.8
25.7,13.7,71,187.69,5041,13325.99,69061.7
24.9,13.8,64,190.44,4096,12188.16,56524.8
34.5,14,78,196,6084,15288,85176
31.7,14.2,80,201.64,6400,16131.2,90880
36.3,14.5,74,210.25,5476,15558.5,79402
38.3,16,72,256,5184,18432,82944
42.6,16.3,77,265.69,5929,20458.13,96642.7
55.4,17.3,81,299.29,6561,24242.49,113505.3
55.7,17.5,82,306.25,6724,25112.5,117670
58.3,17.9,80,320.41,6400,25632.8,114560
51.5,18,80,324,6400,25920,115200
51,18,80,324,6400,25920,115200
77,20.6,87,424.36,7569,36919.32,155921.4
