Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,wholeAddress
1592647,"December 31, 2019",Texas,Deer Park,8700 block of Park Town Dr,0,0,"8700 block of Park Town Dr, Deer Park, Texas"
1592563,"December 31, 2019",Texas,Beaumont,4000 block of Hartel St,0,0,"4000 block of Hartel St, Beaumont, Texas"
1585921,"December 31, 2019",Illinois,Normal,1700 block of Putnam Ave,1,0,"1700 block of Putnam Ave, Normal, Illinois"
1586924,"December 31, 2019",West Virginia,Chapmanville,US-119,0,0,"US-119, Chapmanville, West Virginia"
1589821,"December 31, 2019",Georgia,Douglas,N/A,0,0,"N/A, Douglas, Georgia"
1584886,"December 31, 2019",New Jersey,Lakewood,201 Ocean Ave,0,0,"201 Ocean Ave, Lakewood, New Jersey"
1595385,"December 31, 2019",Georgia,Conyers,1454 Dogwood Dr SE,0,0,"1454 Dogwood Dr SE, Conyers, Georgia"
1591539,"December 31, 2019",South Carolina,Orangeburg,Whaley St,0,1,"Whaley St, Orangeburg, South Carolina"
1587720,"December 31, 2019",West Virginia,Buckhannon,Three Lick Rd,0,0,"Three Lick Rd, Buckhannon, West Virginia"
1587694,"December 31, 2019",Wisconsin,Beloit,500 block of Public Ave,0,0,"500 block of Public Ave, Beloit, Wisconsin"
1584621,"December 31, 2019",Washington,Federal Way,30800 block of 14th Ave S,1,2,"30800 block of 14th Ave S, Federal Way, Washington"
1584961,"December 31, 2019",Alaska,Wasilla,Bogard Rd and Dellwood St,1,0,"Bogard Rd and Dellwood St, Wasilla, Alaska"
1585607,"December 31, 2019",New Mexico,Roswell,300 block of E 6th St,1,0,"300 block of E 6th St, Roswell, New Mexico"
1585678,"December 31, 2019",Tennessee,Nashville,I-65 and Rosa L Parks Blvd,1,0,"I-65 and Rosa L Parks Blvd, Nashville, Tennessee"
1611087,"December 31, 2019",Vermont,Barre,N/A,0,0,"N/A, Barre, Vermont"
1586937,"December 31, 2019",Michigan,Saginaw,Gallagher St and Van Etten St,0,0,"Gallagher St and Van Etten St, Saginaw, Michigan"
1584950,"December 31, 2019",Alaska,Anchorage,8400 block of E 5th Ave,0,1,"8400 block of E 5th Ave, Anchorage, Alaska"
1588205,"December 31, 2019",Florida,Fort Pierce,S 25th St and Orange Ave,0,0,"S 25th St and Orange Ave, Fort Pierce, Florida"
1585979,"December 31, 2019",Michigan,Detroit,7 Mile Rd and Riopelle St,0,1,"7 Mile Rd and Riopelle St, Detroit, Michigan"
1585891,"December 31, 2019",California,Petaluma,100 block of Ellis St,0,1,"100 block of Ellis St, Petaluma, California"
1585147,"December 31, 2019",Louisiana,Shreveport,798 W 70th St,0,1,"798 W 70th St, Shreveport, Louisiana"
1585130,"December 31, 2019",Maryland,Suitland,3500 block of Silver Park Dr,0,0,"3500 block of Silver Park Dr, Suitland, Maryland"
1585109,"December 31, 2019",Louisiana,New Orleans,3494 Esplanade Ave,0,0,"3494 Esplanade Ave, New Orleans, Louisiana"
1586323,"December 31, 2019",New Jersey,Somerset,Churchill Ave,1,0,"Churchill Ave, Somerset, New Jersey"
1588727,"December 30, 2019",Texas,Frankston,22100 TX-155,0,0,"22100 TX-155, Frankston, Texas"
1584959,"December 30, 2019",Tennessee,Johnson City,University Pkwy,0,0,"University Pkwy, Johnson City, Tennessee"
1588586,"December 30, 2019",Kansas,Leavenworth,700 block of Charles St,0,0,"700 block of Charles St, Leavenworth, Kansas"
1583958,"December 30, 2019",California,San Mateo,201 N Amphlett Blvd,0,1,"201 N Amphlett Blvd, San Mateo, California"
1586976,"December 30, 2019",Kentucky,Louisville,Elliott Ave and S 24th St Louisville,0,0,"Elliott Ave and S 24th St Louisville, Louisville, Kentucky"
1587724,"December 30, 2019",New Hampshire,Lebanon,260 Mechanic St,0,0,"260 Mechanic St, Lebanon, New Hampshire"
1587704,"December 30, 2019",Wisconsin,Fall Creek,Co Rd X and Woodland Valley Rd,0,0,"Co Rd X and Woodland Valley Rd, Fall Creek, Wisconsin"
1586732,"December 30, 2019",Illinois,Benton,1100 block of Fairland St,0,0,"1100 block of Fairland St, Benton, Illinois"
1584875,"December 30, 2019",Indiana,Hammond,4900 block of Oak Ave,0,0,"4900 block of Oak Ave, Hammond, Indiana"
1584873,"December 30, 2019",Indiana,Hammond,4300 block of Elm Ave,0,0,"4300 block of Elm Ave, Hammond, Indiana"
1584312,"December 30, 2019",Maryland,Hyattsville (Landover),Kent Village Dr and E Ridge Dr,0,0,"Kent Village Dr and E Ridge Dr, Hyattsville (Landover), Maryland"
1585380,"December 30, 2019",Indiana,Fort Wayne,3900 block of S Monroe St,0,1,"3900 block of S Monroe St, Fort Wayne, Indiana"
1584085,"December 30, 2019",Missouri,Fayette,W Hackberry St and S Linn St,1,0,"W Hackberry St and S Linn St, Fayette, Missouri"
1584447,"December 30, 2019",Maryland,Annapolis,200 block of Croll Dr,0,0,"200 block of Croll Dr, Annapolis, Maryland"
1584355,"December 30, 2019",Florida,Ocala,2000 block of SW Seventh Place,0,1,"2000 block of SW Seventh Place, Ocala, Florida"
1585271,"December 30, 2019",Delaware,Dover,400 block of Barrister Pl,0,1,"400 block of Barrister Pl, Dover, Delaware"
1592035,"December 30, 2019",New Jersey,Bridgeton,Horton St and Bank St,0,0,"Horton St and Bank St, Bridgeton, New Jersey"
1593501,"December 30, 2019",Louisiana,Baton Rouge,Gayosa St,0,1,"Gayosa St, Baton Rouge, Louisiana"
1585145,"December 30, 2019",Louisiana,Monroe,300 block of Dellwood Dr,0,0,"300 block of Dellwood Dr, Monroe, Louisiana"
1584093,"December 30, 2019",Arkansas,Forrest City,700 block of Hickey St,0,1,"700 block of Hickey St, Forrest City, Arkansas"
1587234,"December 30, 2019",Alabama,Huntsville,Oakdale Ct NW,0,0,"Oakdale Ct NW, Huntsville, Alabama"
1636747,"December 30, 2019",Nevada,Las Vegas,6555 Boulder Hwy,1,0,"6555 Boulder Hwy, Las Vegas, Nevada"
1588741,"December 30, 2019",Texas,San Antonio,N/A,0,0,"N/A, San Antonio, Texas"
1582596,"December 29, 2019",Tennessee,Memphis,3408 Bestway Dr,1,0,"3408 Bestway Dr, Memphis, Tennessee"
1582410,"December 29, 2019",District of Columbia,Washington,100 block of 36th St NE,0,2,"100 block of 36th St NE, Washington, District of Columbia"
1591443,"December 29, 2019",New Mexico,Artesia,1910 W Main St,0,0,"1910 W Main St, Artesia, New Mexico"
1583638,"December 29, 2019",District of Columbia,Washington,4200 block of Barnaby Rd SE,1,0,"4200 block of Barnaby Rd SE, Washington, District of Columbia"
1582852,"December 29, 2019",Nevada,Las Vegas,Raven Creek Ave,0,1,"Raven Creek Ave, Las Vegas, Nevada"
1585069,"December 29, 2019",Arizona,Phoenix,E Baseline Rd and S 44th St,0,1,"E Baseline Rd and S 44th St, Phoenix, Arizona"
1582249,"December 29, 2019",Texas,Fort Worth (White Settlement),1900 S Las Vegas Trail,3,0,"1900 S Las Vegas Trail, Fort Worth (White Settlement), Texas"
1582988,"December 29, 2019",Texas,Waco,1516 Gurley Ln,1,0,"1516 Gurley Ln, Waco, Texas"
1584204,"December 29, 2019",New York,New York (Manhattan),Academy St and Seaman Ave,0,0,"Academy St and Seaman Ave, New York (Manhattan), New York"
1583820,"December 29, 2019",Texas,Dallas,9907 Rhoda Ln,1,0,"9907 Rhoda Ln, Dallas, Texas"
1581984,"December 28, 2019",Arizona,Prescott Valley,7900 block of Prickly Pear Path,0,1,"7900 block of Prickly Pear Path, Prescott Valley, Arizona"
1582842,"December 28, 2019",California,Stockton,Alpine Ave and Delaware Ave,0,0,"Alpine Ave and Delaware Ave, Stockton, California"
1582579,"December 28, 2019",Texas,Houston,6202 Hermann Park Dr,1,0,"6202 Hermann Park Dr, Houston, Texas"
1582546,"December 28, 2019",Georgia,Macon,3268 Vineville Ave,0,1,"3268 Vineville Ave, Macon, Georgia"
1581516,"December 28, 2019",Pennsylvania,Pittsburgh,718 Hazelwood Ave,1,0,"718 Hazelwood Ave, Pittsburgh, Pennsylvania"
1581714,"December 28, 2019",North Carolina,Garner,108 Cedar Ln,0,0,"108 Cedar Ln, Garner, North Carolina"
1582731,"December 28, 2019",Virginia,Lynchburg,621 Gum St,1,1,"621 Gum St, Lynchburg, Virginia"
1588386,"December 28, 2019",South Carolina,Bluffton,142 Burnt Church Rd,0,0,"142 Burnt Church Rd, Bluffton, South Carolina"
1584687,"December 28, 2019",North Carolina,High Point,400 block of Cable St,0,0,"400 block of Cable St, High Point, North Carolina"
1584497,"December 28, 2019",Georgia,Alpharetta,GA 400,0,0,"GA 400, Alpharetta, Georgia"
1582175,"December 28, 2019",Delaware,Dover,50 block of State Circle,0,0,"50 block of State Circle, Dover, Delaware"
1582176,"December 28, 2019",Delaware,Dover,50 block of Kentwood Dr,0,0,"50 block of Kentwood Dr, Dover, Delaware"
1584416,"December 28, 2019",Maryland,Marydel,700 block of Duhamel Corner Rd,0,0,"700 block of Duhamel Corner Rd, Marydel, Maryland"
1585286,"December 28, 2019",Maryland,Easton,West St and Blake St,0,0,"West St and Blake St, Easton, Maryland"
1583240,"December 28, 2019",Florida,Key West,Mars Ln,0,0,"Mars Ln, Key West, Florida"
1586356,"December 28, 2019",Connecticut,West Haven,7 Kimberly Avenue,0,0,"7 Kimberly Avenue, West Haven, Connecticut"
1587315,"December 28, 2019",Louisiana,West Monroe,LA-3033,0,0,"LA-3033, West Monroe, Louisiana"
1582955,"December 28, 2019",Texas,Baytown,200 block of Midway Dr,0,0,"200 block of Midway Dr, Baytown, Texas"
1583918,"December 28, 2019",Kentucky,Paducah,1200 block of Helen St,0,0,"1200 block of Helen St, Paducah, Kentucky"
1589256,"December 28, 2019",Louisiana,Monroe,851 Elkins Rd,0,0,"851 Elkins Rd, Monroe, Louisiana"
1591035,"December 27, 2019",Colorado,Montrose,339 Bible Camp Rd,0,0,"339 Bible Camp Rd, Montrose, Colorado"
1591026,"December 27, 2019",New York,Oswego,164 City Line Rd,0,1,"164 City Line Rd, Oswego, New York"
1584136,"December 27, 2019",Mississippi,Pontotoc,385 E Oxford St,0,1,"385 E Oxford St, Pontotoc, Mississippi"
1585604,"December 27, 2019",West Virginia,Martinsburg,1600 block of Rock Cliff Dr,0,0,"1600 block of Rock Cliff Dr, Martinsburg, West Virginia"
1584719,"December 27, 2019",North Carolina,Mooresville,1014 Mount Ulla Hwy,0,0,"1014 Mount Ulla Hwy, Mooresville, North Carolina"
1593667,"December 27, 2019",Colorado,Evans,3006 Denver St,0,0,"3006 Denver St, Evans, Colorado"
1580684,"December 27, 2019",Florida,Miami,137th Ave and SW 152nd St,0,0,"137th Ave and SW 152nd St, Miami, Florida"
1629370,"December 27, 2019",Maryland,Port Republic,1900 Weems Rd,0,0,"1900 Weems Rd, Port Republic, Maryland"
1581448,"December 27, 2019",Florida,Naples,5300 block of Trammel St,0,0,"5300 block of Trammel St, Naples, Florida"
1596181,"December 27, 2019",Louisiana,Winnsboro,White St,0,1,"White St, Winnsboro, Louisiana"
1580770,"December 27, 2019",Utah,West Jordan,7700 S Woodgreen Rd,0,0,"7700 S Woodgreen Rd, West Jordan, Utah"
1581746,"December 27, 2019",Delaware,Dover,200 block of S Governors Blvd,0,1,"200 block of S Governors Blvd, Dover, Delaware"
1581075,"December 27, 2019",Maryland,Linthicum Heights,1200 block of Gloria Ave,1,0,"1200 block of Gloria Ave, Linthicum Heights, Maryland"
1581724,"December 27, 2019",Maryland,Saint Inigoes,Mount Zion Church Rd,0,1,"Mount Zion Church Rd, Saint Inigoes, Maryland"
1586092,"December 27, 2019",Texas,Midland,S County Road 1230,1,0,"S County Road 1230, Midland, Texas"
1584182,"December 27, 2019",Connecticut,Norwalk,South Main Street,0,0,"South Main Street, Norwalk, Connecticut"
