Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,wholeAddressRifle
1587720,31-Dec-19,West Virginia,Buckhannon,Three Lick Rd,0,0,"Three Lick Rd, Buckhannon, West Virginia"
1591127,31-Dec-19,Alaska,Kodiak,Spruce Cape Rd,0,0,"Spruce Cape Rd, Kodiak, Alaska"
1588533,31-Dec-19,Maryland,Waldorf,4000 block of Night Heron Ct,0,0,"4000 block of Night Heron Ct, Waldorf, Maryland"
1586130,31-Dec-19,Texas,San Antonio,1300 block of Gibbs St,0,2,"1300 block of Gibbs St, San Antonio, Texas"
1588054,31-Dec-19,Texas,Baytown,600 block of 7th St,0,0,"600 block of 7th St, Baytown, Texas"
1584493,31-Dec-19,Texas,Gary (Gary City),FM 10 and FM 2260,1,0,"FM 10 and FM 2260, Gary (Gary City), Texas"
1588727,30-Dec-19,Texas,Frankston,22100 TX-155,0,0,"22100 TX-155, Frankston, Texas"
1586976,30-Dec-19,Kentucky,Louisville,Elliott Ave and S 24th St Louisville,0,0,"Elliott Ave and S 24th St Louisville, Louisville, Kentucky"
1584748,30-Dec-19,Alabama,Birmingham,400 Graymont Ave W,0,2,"400 Graymont Ave W, Birmingham, Alabama"
1592035,30-Dec-19,New Jersey,Bridgeton,Horton St and Bank St,0,0,"Horton St and Bank St, Bridgeton, New Jersey"
1585182,30-Dec-19,Arkansas,Little Rock,Knollwood Dr,0,0,"Knollwood Dr, Little Rock, Arkansas"
1587234,30-Dec-19,Alabama,Huntsville,Oakdale Ct NW,0,0,"Oakdale Ct NW, Huntsville, Alabama"
1584124,30-Dec-19,Louisiana,Baton Rouge,16000 block of Morel Ave,1,1,"16000 block of Morel Ave, Baton Rouge, Louisiana"
1583071,29-Dec-19,South Dakota,Rapid City,851 E Minnesota St,2,0,"851 E Minnesota St, Rapid City, South Dakota"
1583902,28-Dec-19,Alabama,Mc Calla,Sycamore Rd,0,1,"Sycamore Rd, Mc Calla, Alabama"
1583041,28-Dec-19,Maryland,Hampstead,1800 block of Fairmount Rd,0,0,"1800 block of Fairmount Rd, Hampstead, Maryland"
1586356,28-Dec-19,Connecticut,West Haven,7 Kimberly Avenue,0,0,"7 Kimberly Avenue, West Haven, Connecticut"
1584118,28-Dec-19,Virginia,Warrenton,7700 Rogues Rd,0,0,"7700 Rogues Rd, Warrenton, Virginia"
1584401,27-Dec-19,Maryland,Flintstone,Town Creek Rd,0,1,"Town Creek Rd, Flintstone, Maryland"
1584175,27-Dec-19,Oregon,Florence,52nd St,0,1,"52nd St, Florence, Oregon"
1588074,27-Dec-19,Texas,Huntsville,322 Sumac Rd,0,0,"322 Sumac Rd, Huntsville, Texas"
1580463,26-Dec-19,Louisiana,Doyline,Camp Zion Rd,0,0,"Camp Zion Rd, Doyline, Louisiana"
1580245,25-Dec-19,Pennsylvania,Philadelphia,1513 W Lehigh Ave,0,2,"1513 W Lehigh Ave, Philadelphia, Pennsylvania"
1580475,25-Dec-19,Texas,Fort Worth,6600 South Fwy,0,1,"6600 South Fwy, Fort Worth, Texas"
1581380,25-Dec-19,Illinois,Venice,1000 block of Market St,0,0,"1000 block of Market St, Venice, Illinois"
1580487,25-Dec-19,Texas,Lubbock,5108 I-27,0,0,"5108 I-27, Lubbock, Texas"
1579838,24-Dec-19,Ohio,Dayton,2800 block of E 1st St,0,0,"2800 block of E 1st St, Dayton, Ohio"
1579009,24-Dec-19,District of Columbia,Washington,3500 block of Wheeler Rd SE,0,3,"3500 block of Wheeler Rd SE, Washington, District of Columbia"
1579900,24-Dec-19,Louisiana,Duson,N/A,0,0,"N/A, Duson, Louisiana"
1581156,24-Dec-19,Ohio,Youngstown,3300 block of South Ave,0,0,"3300 block of South Ave, Youngstown, Ohio"
1579766,23-Dec-19,Oregon,Tiller,34000 block of Tiller Trail Hwy,0,0,"34000 block of Tiller Trail Hwy, Tiller, Oregon"
1599700,23-Dec-19,Michigan,Detroit,12000 block of Mettetal St,0,0,"12000 block of Mettetal St, Detroit, Michigan"
1581511,23-Dec-19,Ohio,Fairborn,264 Landmark Ct,0,0,"264 Landmark Ct, Fairborn, Ohio"
1580431,23-Dec-19,Louisiana,Eunice,620 W Maple Ave,0,0,"620 W Maple Ave, Eunice, Louisiana"
1577577,22-Dec-19,Maryland,Baltimore,225 Park Ave,0,7,"225 Park Ave, Baltimore, Maryland"
1577859,22-Dec-19,Texas,Cedar Park,W Whitestone Blvd and Bagdad Rd,0,1,"W Whitestone Blvd and Bagdad Rd, Cedar Park, Texas"
1579042,22-Dec-19,Texas,Houston,12600 block of Kuykendahl Rd,0,0,"12600 block of Kuykendahl Rd, Houston, Texas"
1579024,22-Dec-19,Georgia,Toccoa,Hayes Wilbank Rd,1,0,"Hayes Wilbank Rd, Toccoa, Georgia"
